1935,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1935,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1935,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
1935,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]"
1935,"Columbia Studio Sound Department, John Livadary, Sound Director"
1935,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,Republic Studio Sound Department
1935,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1935,Moss Hart [Third]
1935,Gregory Rogers [Second]
1935,"Don Hartman, Stephen Avery"
1935,"Ben Hecht, Charles MacArthur"
1935,Casey Robinson [Third]
1935,Dudley Nichols
1935,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt"
1935,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]"
1935,
1936,Mr. Deeds Goes to Town
1936,Dodsworth
1936,The Story of Louis Pasteur
1936,My Man Godfrey
1936,San Francisco
1936,Come and Get It
1936,Pigskin Parade
1936,Romeo and Juliet
1936,The General Died at Dawn
1936,Theodora Goes Wild
1936,Valiant Is the Word for Carrie
1936,The Great Ziegfeld
1936,The Gorgeous Hussy
1936,These Three
1936,Anthony Adverse
1936,Anton Grot
1936,Richard Day
1936,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis"
1936,William S. Darling
1936,"Albert S. D'Agostino, Jack Otterson"
1936,"Cedric Gibbons, Fredric Hope, Edwin B. Willis"
1936,Perry Ferguson
1936,William Cannon
1936,Jack Sullivan
1936,Eric G. Stacey
1936,Clem Beauchamp
1936,Joseph Newman
1936,Gaetano Gaudio
1936,Victor Milner
1936,George Folsey
1936,Love and War number from Gold Diggers of 1937
1936,1000 Love Songs number from Cain and Mabel
1936,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
1936,Swingin' the Jinx number from Born to Dance
1936,Skating Ensemble number from One in a Million
1936,The Finale number from Dancing Pirate
1936,Bojangles of Harlem number from Swing Time
1936,William Wyler
1936,Robert Z. Leonard
1936,Frank Capra
1936,Gregory La Cava
1936,W. S. Van Dyke
1936,Ralph Dawson
1936,Edward Curtiss
1936,William S. Gray
1936,Barbara McLean
1936,Conrad A. Nervig
1936,Otto Meyer
1936,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
1936,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1936,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1936,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)"
1936,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)"
1936,Music by Walter Donaldson; Lyrics by Harold Adamson
1936,Music and Lyrics by Cole Porter
1936,Music by Louis Alter; Lyrics by Sidney Mitchell
1936,Music by Arthur Johnston; Lyrics by Johnny Burke
1936,Music by Jerome Kern; Lyrics by Dorothy Fields
1936,Music by Richard A. Whiting; Lyrics by Walter Bullock
1936,Warner Brothers
1936,Samuel Goldwyn Productions
1936,Metro-Goldwyn-Mayer
1936,Columbia
1936,Cosmopolitan
1936,Universal
1936,"Walt Disney, Producer"
1936,Harman-Ising
1936,Paramount
1936,"Lewis Lewyn, Producer"
1936,"Hal Roach, Producer"
1936,"Pete Smith, Producer"
1936,RKO Radio
1936,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1936,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1936,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1936,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1936,"Columbia Studio Sound Department, John Livadary, Sound Director"
