1934,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
1934,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
1934,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
1934,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
1934,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
1934,Cleopatra ,Paramount
1934,Flirtation Walk ,First National
1934,The Gay Divorcee ,RKO Radio
1934,Here Comes the Navy ,Warner Brothers
1934,The House of Rothschild ,20th Century [Third]
1934,Imitation of Life ,Universal
1934,It Happened One Night ,Columbia
1934,One Night of Love ,Columbia
1934,The Thin Man ,Metro-Goldwyn-Mayer
1934,Viva Villa! ,Metro-Goldwyn-Mayer
1934,The White Parade ,Jesse L. Lasky (production company)
1934,Holiday Land ,"Charles Mintz, Producer [Third]"
1934,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
1934,The Tortoise and the Hare ,"Walt Disney, Producer"
1934,La Cucaracha ,"Kenneth Macgowan, Producer"
1934,Men in Black ,"Jules White, Producer [Third]"
1934,"What, No Men! ",Warner Brothers [Second]
1934,Bosom Friends ,Skibo Productions [Third]
1934,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
1934,Strikes and Spares ,"Pete Smith, Producer [Second]"
1934,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1934,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1934,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
1934,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1934,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1934,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
1934,It Happened One Night ,Robert Riskin
1934,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
1934,Viva Villa! ,Ben Hecht [Third]
1934,Hide-Out ,Mauri Grashin [Third]
1934,Manhattan Melodrama ,Arthur Caesar
